indication,state,fhdi_drug_id
headache icd11 8a808a84,approved,d00447
pain icd11 mg30mg3z,approved,d00449
erectile dysfunction icd11 ha011,approved,d00450
arthritis icd11 fa20,approved,d00451
anaesthesia icd11 9a786,approved,d00452
asthma icd11 ca23,approved,d00454
hormone replacement therapy icd11 8e01,approved,d00455
bronchial asthma icd11 ca23,approved,d00457
asthma icd11 ca23,phase 2,d00457
myelodysplastic syndrome icd11 2a37,approved,d00458
alzheimer disease icd11 8a20,approved,d00460
migraine icd11 8a80,approved,d00461
angina pectoris icd11 ba40,approved,d00462
pain icd11 mg30mg3z,approved,d00464
migraine icd11 8a80,approved,d00468
nausea icd11 md90,approved,d00469
manic depression disorder icd11 6a71,approved,d00472
wilson disease icd11 5c6400,approved,d00473
human immunodeficiency virus infection icd11 1c62,investigative,d00473
common cold icd11 ca00,approved,d00474
constipation icd11 dd911,approved,d00475
anaesthesia icd11 9a786,approved,d00477
chronic obstructive pulmonary disease icd11 ca22,approved,d00477
bacterial infection icd11 1a001c4z,approved,d00478
contraception icd11 qa21,approved,d00479
contraception icd11 qa21,approved,d01376
solid tumourcancer icd11 2a002f9z,approved,d00481
kidney stone icd11 gb700z,approved,d00482
diarrhea icd11 me051,approved,d00483
bipolar disorder icd11 6a60,approved,d00484
hormone replacement therapy icd11 8e01,approved,d00485
pulmonary tuberculosis icd11 1b10z,approved,d00486
methicillinresistant staphylococci infection icd11 1a001a09,approved,d00489
mrsa infection icd11 1d010y,investigative,d00489
pain icd11 mg30mg3z,approved,d00490
congestive heart failure icd11 bd10,approved,d00492
schizophrenia icd11 6a20,approved,d00493
hay fever icd11 ca0800,approved,d00494
human immunodeficiency virus infection icd11 1c62,approved,d00496
bacterial infection icd11 1a001c4z,approved,d00497
major depressive disorder icd11 6a703,approved,d00498
prostate cancer icd11 2c820,patented,d00498
allergic rhinitis icd11 ca080,approved,d00499
pancreatic cancer icd11 2c10,approved,d00500
diabetic complication icd11 5a2y,approved,d00500
hairy cell leukaemia icd11 2a822,approved,d00501
multiple sclerosis icd11 8a40,phase 3,d00501
relapsingremitting multiple sclerosis icd11 8a400,phase 3,d00501
infection of the upper and lower urinary tract icd11 gc08,approved,d00502
angina pectoris icd11 ba40,approved,d00503
bacterial infection icd11 1a001c4z,approved,d00504
ulcerative colitis icd11 dd71,approved,d00505
schizophrenia icd11 6a20,approved,d00506
irondeficiency anemia icd11 3a00,approved,d00507
human immunodeficiency virus infection icd11 1c62,approved,d00510
virus infection icd11 1a241d9z,approved,d00511
major depressive disorder icd11 6a703,approved,d00513
skin imperfections icd11 ek71,patented,d00513
chemotherapyinduced nausea icd11 md90,discontinued in phase 3,d00513
parasitic infection icd11 1d0y1g2z,approved,d00514
